Source:,G:\WSP-KiCad6\quick-feather-dev-board-master\quickfeather-board.kicad_sch,,,,,,,,,,
Date:,8/27/2022 15:30,,,,,,,,,,
Tool:,Eeschema (6.0.7),,,,,,,,,,
Generator:,F:\Program Files\KiCad6\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,101,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,MPN,Manufacturer,Val,,,,,
,,R26,R_100R_0402,CR0402-FX-1000GLF,BOURNS,100R,,,,,
,,R27,R_1k5_0402,ERJ2RKF1501X,PANASONIC_ELECTRONIC_COMPONENTS,1k5,,,,,
,,R28,R_22R_0402,CRCW040222R0FKED,VISHAY,22R,,,,,
,,R29,R_22R_0402,CRCW040222R0FKED,VISHAY,22R,,,,,
,,R30,EXB2HV220JV,EXB2HV220JV,Panasonic,,,,,,
,,R31,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R32,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R33,EXB2HV220JV,EXB2HV220JV,Panasonic,,,,,,
,,R34,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R36,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R37,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R38,R_22R_0402,CRCW040222R0FKED,VISHAY,22R,,,,,
,,R39,R_22R_0402,CRCW040222R0FKED,VISHAY,22R,,,,,
,,R40,R_22R_0402,CRCW040222R0FKED,VISHAY,22R,,,,,
,,R41,EXB2HV220JV,EXB2HV220JV,Panasonic,,,,,,
,,R42,EXB2HV220JV,EXB2HV220JV,Panasonic,,,,,,
,,S1,KMR2,KMR211NGLFS,C&K Components,,,,,,
,,S2,KMR2,KMR211NGLFS,C&K Components,,,,,,
,,TP1,TP_SMD1MM,N/A,N/A,,,,,,
,,TP2,TP_SMD1MM,N/A,N/A,,,,,,
,,TP4,TP_THT,N/A,N/A,,,,,,
,,TP5,TP_THT,N/A,N/A,,,,,,
,,TP6,TP_SMD1MM,N/A,N/A,,,,,,
,,U1,TPS62821DLCR,TPS62821DLCR,Texas Instruments,,,,,,
,,U2,MCP73831T-2ACI_OT,MCP73831T-2ACI/OT,Microchip Technology,,,,,,
,,U3,GD25Q16CWIGR,GD25Q16CWIGR,GigaDevice,,,,,,
,,U4,DPS310,DPS310,Infineon,,,,,,
,,U5,MC3635,MC3635,mCube,,,,,,
,,X1,ECS-_327-12_5-34B-TR,ECS-.327-12.5-34B-TR,ECS Inc.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Collated Components:,,,,,,,,,,,
,,,,,,,,"For purchasing 3 units (3"" x 2.5"" board)",,,
Item,Qty,Reference(s),Value,MPN,Manufacturer,Val,,Qty total,Unit price,Total Cost,
1,5,"C1, C2, C5, C14, C16",C_4u7_0603,C1608X5R1V475M080AC,TDK,4u7,,15,0.46,,https://www.digikey.com/en/products/detail/tdk-corporation/C1608X5R1V475M080AC/3648579?s=N4IgTCBcDaIMIEYBsAGAHADQKwCUEDUAWAdiwFl0UBBOEAXQF8g
2,1,C3,C_100p_0402,0402N101J500CT,WALSIN,100p,,3,0.1,,
3,1,C4,C_22u_0603,GRM188R60J226MEA0D,MURATA,22u,,3,0.21,,
4,2,"C6, C7",C_12p_0402,CGA2B2C0G1H120J050BA,TDK,12p,,6,0.12,,https://www.mouser.com/ProductDetail/TDK/CGA2B2C0G1H120J050BA?qs=LcTL%2F5vFEzFi9HDlwn2ndQ%3D%3D
5,9,"C8, C9, C10, C11, C12, C13, C15, C17, C18",C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,27,0.03,,https://www.digikey.com/ordering/shoppingcart
6,1,C19,C_1u_0402,C1005X6S1A105K050BC,TDK,1u,,3,0.12,,
